,date,open,close,high,low,volume,code
1061,2020-05-15,1329.0,1313.0,1333.5,1301.88,26398.0,sh600519
1062,2020-05-18,1306.0,1346.21,1351.5,1305.13,34362.0,sh600519
1063,2020-05-19,1364.0,1346.11,1364.0,1338.0,24787.0,sh600519
1064,2020-05-20,1346.11,1351.0,1359.18,1336.81,21183.0,sh600519
1065,2020-05-21,1355.0,1366.1,1371.96,1352.86,23052.0,sh600519
1066,2020-05-22,1366.0,1328.2,1366.1,1322.88,34427.0,sh600519
1067,2020-05-25,1330.0,1362.9,1366.58,1321.0,31561.0,sh600519
1068,2020-05-26,1369.88,1358.0,1369.95,1355.0,22470.0,sh600519
1069,2020-05-27,1359.0,1338.0,1360.0,1333.0,26777.0,sh600519
1070,2020-05-28,1337.97,1344.0,1346.94,1321.13,26486.0,sh600519
1071,2020-05-29,1332.1,1366.6,1369.98,1332.1,30444.0,sh600519
1072,2020-06-01,1381.0,1419.5,1420.1,1381.0,35480.0,sh600519
1073,2020-06-02,1416.01,1410.71,1427.9,1406.66,25960.0,sh600519
1074,2020-06-03,1415.0,1399.3,1417.5,1395.77,23557.0,sh600519
1075,2020-06-04,1396.0,1407.99,1411.0,1396.0,18037.0,sh600519
1076,2020-06-05,1405.25,1425.0,1428.88,1401.08,18347.0,sh600519
1077,2020-06-08,1425.0,1406.1,1435.0,1402.01,29300.0,sh600519
1078,2020-06-09,1408.0,1416.55,1425.0,1400.68,22612.0,sh600519
1079,2020-06-10,1425.0,1423.66,1433.33,1417.0,22701.0,sh600519
1080,2020-06-11,1411.01,1400.46,1417.99,1396.99,30712.0,sh600519
1081,2020-06-12,1387.17,1416.37,1416.37,1383.31,28427.0,sh600519
1082,2020-06-15,1402.0,1383.0,1411.6,1381.0,34615.0,sh600519
1083,2020-06-16,1398.5,1403.88,1414.0,1393.13,29207.0,sh600519
1084,2020-06-17,1411.86,1405.0,1411.9,1395.02,19453.0,sh600519
1085,2020-06-18,1404.9,1413.0,1413.2,1400.1,21010.0,sh600519
1086,2020-06-19,1420.0,1439.84,1445.2,1415.1,38958.0,sh600519
1087,2020-06-22,1435.1,1439.0,1443.89,1433.2,23247.0,sh600519
1088,2020-06-23,1435.0,1474.5,1482.0,1433.52,33934.0,sh600519
1089,2020-06-24,1463.6,1460.01,1465.71,1445.0,25139.0,sh600519
1090,2020-06-29,1448.0,1463.17,1466.0,1437.01,28081.0,sh600519
1091,2020-06-30,1463.12,1462.88,1468.98,1455.12,22446.0,sh600519
1092,2020-07-01,1468.0,1494.27,1506.1,1464.02,38682.0,sh600519
1093,2020-07-02,1499.0,1544.0,1550.9,1495.0,45884.0,sh600519
1094,2020-07-03,1550.0,1541.79,1552.5,1516.88,35126.0,sh600519
1095,2020-07-06,1538.0,1600.0,1616.0,1531.81,51822.0,sh600519
1096,2020-07-07,1603.09,1688.0,1744.82,1601.0,66664.0,sh600519
1097,2020-07-08,1680.0,1681.34,1719.0,1660.0,53170.0,sh600519
1098,2020-07-09,1691.0,1706.0,1712.0,1682.0,35033.0,sh600519
1099,2020-07-10,1689.0,1713.85,1736.6,1688.94,37100.0,sh600519
1100,2020-07-13,1714.68,1781.99,1787.0,1714.68,60727.0,sh600519
1101,2020-07-14,1781.99,1762.0,1782.03,1748.4,46094.0,sh600519
1102,2020-07-15,1744.88,1752.53,1782.6,1744.71,40713.0,sh600519
1103,2020-07-16,1729.91,1614.0,1729.91,1600.0,102242.0,sh600519
1104,2020-07-17,1620.0,1648.05,1672.59,1620.0,65902.0,sh600519
1105,2020-07-20,1652.5,1636.96,1663.99,1588.88,45280.0,sh600519
1106,2020-07-21,1646.64,1668.0,1702.8,1630.99,41970.0,sh600519
1107,2020-07-22,1658.0,1678.08,1710.0,1658.0,39201.0,sh600519
1108,2020-07-23,1672.0,1676.0,1691.0,1650.0,34321.0,sh600519
1109,2020-07-24,1654.85,1595.3,1666.0,1585.0,78752.0,sh600519
1110,2020-07-27,1616.01,1622.55,1629.8,1600.0,38788.0,sh600519
1111,2020-07-28,1630.0,1670.0,1680.0,1630.0,54912.0,sh600519
1112,2020-07-29,1690.0,1672.0,1690.0,1633.0,50748.0,sh600519
1113,2020-07-30,1671.2,1680.0,1700.59,1670.5,38373.0,sh600519
1114,2020-07-31,1685.0,1678.18,1705.0,1646.0,40685.0,sh600519
1115,2020-08-03,1686.88,1668.0,1696.58,1660.0,34661.0,sh600519
1116,2020-08-04,1675.0,1669.99,1682.99,1660.0,31941.0,sh600519
1117,2020-08-05,1662.09,1668.0,1673.09,1643.31,25522.0,sh600519
1118,2020-08-06,1670.0,1637.96,1674.03,1630.0,32649.0,sh600519
1119,2020-08-07,1644.77,1631.0,1649.67,1598.5,34242.0,sh600519
1120,2020-08-10,1627.97,1633.99,1644.96,1608.11,23624.0,sh600519
1121,2020-08-11,1640.0,1642.51,1666.43,1640.0,35818.0,sh600519
1122,2020-08-12,1633.0,1626.95,1641.0,1605.25,27934.0,sh600519
1123,2020-08-13,1630.0,1635.0,1638.88,1609.0,20541.0,sh600519
1124,2020-08-14,1639.9,1661.0,1665.7,1631.0,37653.0,sh600519
1125,2020-08-17,1674.0,1690.0,1704.35,1670.0,43572.0,sh600519
1126,2020-08-18,1697.38,1705.0,1720.0,1691.0,30423.0,sh600519
1127,2020-08-19,1700.0,1687.0,1717.0,1682.99,26915.0,sh600519
1128,2020-08-20,1674.0,1664.0,1679.0,1656.0,22382.0,sh600519
1129,2020-08-21,1673.0,1676.0,1698.0,1671.0,25082.0,sh600519
1130,2020-08-24,1700.0,1696.35,1708.0,1691.01,30933.0,sh600519
1131,2020-08-25,1704.8,1727.0,1746.78,1698.63,41872.0,sh600519
1132,2020-08-26,1734.0,1727.0,1745.0,1715.02,26216.0,sh600519
1133,2020-08-27,1731.99,1731.0,1733.98,1705.0,22636.0,sh600519
